( 348,  88) = f0aff08ffbbfb00800ffffe7ef21efef
( 357,  88) = 8c99ffb367733ff3be0600ffffbfff03
( 535,  88) = 0038829e83b6817ddfffff071f00039f
(1220,  88) = d090da5f5b13fffa02dfcac3c6cada80
( 177,  89) = 000082fbc35293fa2fffff7f7f3f7fbf
( 195,  89) = 00e90000056035c0060f000f0b8f0f0f
( 248,  90) = 324f3d760156737720232b7b230021ef
( 344,  91) = 6100ff7e0000e60eff3c88fdf93dfffd
( 943,  91) = dedf00c17dff11f50101010101010301
(1218,  91) = 0132d33394a0ce0a809efe9abebebefe
( 349,  92) = 028433a0512410005efefffeffdaecff
( 360,  92) = c858c9e88d68c228ff43d7d343c7dfff
( 347,  94) = b508d5fdf004c000a2e73b73f300f7ff
( 185,  95) = 75bfb27d421e3f3400e7ef65ef00efcd
( 941,  95) = 1fef10c7348f00470100000000000000
( 182,  97) = 02108778512c87383bfb1bda18dceeff
( 211,  97) = 9c7af9de35887e8f1704000101371101
( 340,  97) = e79464306eb373b0dfffced6efffd6ff
(1219,  97) = 027d83ffb7be02347f1e163e16001e1e
(1215,  99) = daef412cc5a4e82ee5c5e7cfcfcfc94f
(1229,  99) = be7dffffc52dce5fb32101f7a300a722
( 239, 101) = 0a3da3bdc534061dff5ff77fff3b667b
( 179, 102) = 8e768bf637b8661fffdd048585040604
( 228, 104) = b471d3a7e5a8848fa7ff2600ebe6ffef
(1230, 105) = 5f9219409c880c0014000800007f1404
( 217, 109) = edd1a8d33cfbc17fc8c8508040c00100
( 248, 111) = 7987392228003da020680829046b6069
( 254, 113) = 1aed1080fded1081003325000088ee00
( 239, 114) = 0228c658c300cbcbdfdfff05ff5bff1f
( 671, 117) = 1900a5f910080008a0fbfffeff69ffef
( 431, 132) = bdc3b17234a02c572f0000bbeae2f86a
( 443, 132) = f7fcf35e8400e64775d5d19199c09111
(1049, 135) = a761e723a4a5ee0a80f6b6febebea4b6
( 427, 136) = 35d573567080380522242a6222263226
( 396, 143) = c20452a44b53d335d0d9d9dbdb13d9db
( 407, 143) = f8bb0910f1a90881e0007e00e6fe0000
( 359, 152) = 9410f6f6d374fff6c207dbbe20fefeee
( 523, 163) = b768e6dd8252ff30df0408eefffaccfe
( 602, 176) = 6392f30db0ac6a0a5171795353135353
( 611, 176) = f9d74978b4acee88c180e70000dfc6c0
( 480, 200) = ccf77edeffff5014c8c840c000c0d2fe
( 687, 216) = 8590ffef3493352008ff80ff84a2fff2
(1102, 217) = 53c5a3a010a8222400cb08fe9cdeffde
( 896, 218) = 4d71ff7fb00ce608c07c60d700dfcf00
( 897, 221) = 2949cdfb30040807202a6a69ab00ff21
( 971, 235) = cb485f6edcecce0ad8d8d6d9fbc0fdd9
( 425, 314) = ffd70c409ed31df10000004000fe4202
( 485, 320) = c2c0fe8fc357d156dfddc8efdfdbc9db
( 141, 355) = 122807a7b7a8e20f2405001e1e5e9ebe
( 308, 380) = 70e32c583b532841686060fefbc000e8
( 310, 403) = d3bef7dec6569136d0d4c7fdfd80efff
( 305, 405) = fd7000181efbbdf9dd85f584e5fd9fdd
( 832, 411) = fd9ff09df4bef01cc1e3ffe1eb00e1e1
( 875, 454) = bdd70c41bcff1cc100000020207f2020
(  70, 463) = 124507dfb5ac835d9396027e5a5a7e5a
(   7, 469) = ef774bdeb4a88008ff94001010ffffff
( 966, 478) = 65e700a10e5711f05d010100053d0000
( 952, 480) = 0230d37fd369dfff5f9f8f9f9f1fbf9f
( 901, 490) = bdc71c023cc71cc30000000000800000
( 143, 494) = 7200efbff305c37dfffffffffff9fdfc
(1104, 515) = ed805c5c084210804404140080edf4e4
(  56, 516) = a97500a50eff93f59f9fa71604040000
(1060, 520) = d5d276731e577df0020602eefbffe2fe
( 903, 532) = de7dc33d813ccd3ff7f7f7c7d7c7c7c7
( 912, 533) = c010fa3f7b1bff7ff9ffffffff7dfffd
( 911, 535) = 0000f77f431bffbafffffffefefffcfe
( 942, 547) = 7fef0000bccf00852000000000800000
( 942, 550) = fdef00867eef10c76060600000200000
( 951, 556) = 7ccb08407fc51de10000000000a00000
( 958, 565) = bee318427fdb1df30000000000200000
(1120, 604) = e3952081289b200040fbfff6f720f0f6
( 987, 608) = 3cc71082fff711e20000000000ae0000
(1008, 621) = 0cf81c580b533df020000000007f6ffb
( 378, 622) = 8268ce78cf5bffffff84939f01bfbfbf
(1075, 622) = 0000f0a7c343112508fb98dbdb00d900
(1050, 708) = ffc700c73cc700c72020202020200000
( 254,   1) = 144b8cc99dcdce4bba1810da809b9800
( 225,   2) = b08a8008c388ce0affa999df89019989
( 259,   2) = 0028e7a44748ee6fdf0400ff1c5ddf5d
( 281,   2) = dd8380c15889fc80dfc048c0c0cfd000
( 241,   3) = fdd0b9783a5a3fb02021b17673f7f7f7
( 246,   3) = 5f875d7c5c527ca0400000490400456d
( 301,   3) = 5f8e5d2694040c007afa9088bb88aa98
( 306,   3) = 66810180b749408d61652100d9f9ff00
( 230,   4) = 8500f7a7d005ee0f988498ff809d9f98
( 260,   4) = 8645ff7e8772ef7fb686829f0a828dff
( 273,   4) = 73cc76c70252714260fd61effdf9e960
( 286,   4) = ff45e7a02401ec48f76460f040e4ff40
( 237,   5) = e100f3b160006000f8ff68e8f8fcf8f8
( 244,   5) = 388008087d881c8000ab2b0028afbbeb
( 267,   5) = f3b2e3b9e25eeb58f5f4fdffffc0d7ff
